benchmarks,native,,,,,,,,RV8,,,,,,,
name,tmean,tsd,%mean,%sd,mean,sd,x,xsd,tmean,tsd,%mean,%sd,mean,sd,x,xsd
dijkstra,1.1566,0.0126,100.00,0.00,1.1566,0.0126,1.00,0.00,4.4046,0.0252,100.00,0.00,4.4046,0.0252,3.81,0.05
crc32,0.3406,0.0179,100.00,0.00,0.3406,0.0179,1.00,0.00,0.5648,0.0277,100.00,0.00,0.5648,0.0277,1.66,0.12
rijndael-encode,0.3258,0.0255,100.00,0.00,0.3258,0.0255,1.00,0.00,1.3649,0.0190,100.00,0.00,1.3649,0.0190,4.19,0.33
rijndael-decode,0.3335,0.0231,100.00,0.00,0.3335,0.0231,1.00,0.00,1.0922,0.0254,100.00,0.00,1.0922,0.0254,3.28,0.24
sha,0.3557,0.0154,100.00,0.00,0.3557,0.0154,1.00,0.00,1.3775,0.0238,100.00,0.00,1.3775,0.0238,3.87,0.18
adpcm-encode,0.2968,0.0252,100.00,0.00,0.2968,0.0252,1.00,0.00,0.4605,0.0289,100.00,0.00,0.4605,0.0289,1.55,0.16
adpcm-decode,0.1770,0.0254,100.00,0.00,0.1770,0.0254,1.00,0.00,0.3552,0.0574,100.00,0.00,0.3552,0.0574,2.01,0.43
stringsearch,1.2835,0.0368,100.00,0.00,1.2835,0.0368,1.00,0.00,11.9745,0.1161,100.00,0.00,11.9745,0.1161,9.33,0.28
blowfish-encode,0.1798,0.0200,100.00,0.00,0.1798,0.0200,1.00,0.00,0.2363,0.0327,100.00,0.00,0.2363,0.0327,1.31,0.23
blowfish-decode,0.1827,0.0260,100.00,0.00,0.1827,0.0260,1.00,0.00,0.2439,0.0160,100.00,0.00,0.2439,0.0160,1.33,0.21
